report_id,chunks_used,grounded,root_cause_category,dangerous_goods_involved,fatality_count,key_recommendation,prior_recommendation_unimplemented,parse_error
P12H0105,6,True,Pipeline integrity failure,True,0,Implement periodic hydrostatic testing and advanced in-line inspection tools for crack detection in pipelines.,True,
P07H0014,3,True,Pipeline material fatigue,False,0,Improve the accuracy of in-line inspection data and field verification methods to better estimate crack growth rates and identify injurious anomalies.,False,
M23A0169,37,True,Structural failure,False,5,Require all human-occupied submersibles operating in Canadian waters to comply with the International Maritime Organization's Maritime Safety Committee Circular 981.,,
M23C0257,17,True,Fatigue and inadequate rest,False,3,Implement fatigue education and awareness training for watchkeepers and vessel owners to manage fatigue effectively.,True,
M24C0142,16,True,Insufficient crew training,False,0,Modify the Pleasure Craft Operator Competency Program to ensure that pleasure craft operators acquire and maintain a sufficient level of knowledge to be able to respond to the unique elements of the conditions in which they operate.,True,
M24A0412,3,True,Exhaust system failure,False,0,Vessel owners and masters must ensure that vessel exhaust pipes and silencers are inspected and maintained regularly and that vessel builders design exhaust trunking and lagging to facilitate access to pipes and silencers for inspection and maintenance.,,
M22A0052,8,True,Inadequate contingency planning,False,1,"Develop comprehensive safe towing policies, procedures, and practices that take into account all safety risks associated with towing small vessels in ice-infested waters.",,
M22P0298,12,True,Inadequate training and experience,False,0,"Enhance training and education for pleasure craft operators, particularly in busy waterways.",,
M21A0315,3,True,Lack of safety equipment,False,2,Ensure all fishing vessels carry operable distress alerting devices and life-saving appliances.,True,
M21P0297,22,True,Parametric rolling,True,0,Develop comprehensive procedures and tools for managing the risk of parametric rolling on container vessels.,,
M20A0434,15,True,Inadequate safety procedures,False,1,Ensure each inspection of a commercial fishing vessel verifies that each required written safety procedure is available to the crew and that the crew are knowledgeable of these procedures.,True,
M20P0229,7,True,Regulatory oversight failure,False,2,Enhance proactive regulatory oversight and enforcement mechanisms for fishing vessels to ensure compliance with safety regulations and prevent unsafe conditions.,True,
M19A0090,3,True,Regulatory non-compliance,False,1,"Ensure vessels are compliant with applicable regulatory and safety requirements, including registration and stability assessments.",,
M18A0076,2,True,Failure to wear PFDs,False,2,Vessels should be equipped with reliable distress-alerting devices such as an EPIRB.,True,
M17P0052,12,True,Inadequate stability information,False,1,"Develop and implement a code of best practices for the roe herring fishery, including loading and stability.",True,
M17C0232,8,True,Inadequate safety procedures,False,1,Implement a permit to work system for tasks involving working overboard and ensure crew members are trained on the associated risks and safety measures.,True,
M16A0140,10,True,Operational safety oversight,False,2,Require fishermen to wear personal flotation devices at all times on commercial fishing vessels.,True,
M15P0347,16,True,Inadequate risk management,False,6,"The Department of Transport require commercial passenger vessel operators to adopt explicit risk management processes, and develop comprehensive guidelines to be used by vessel operators and Transport Canada inspectors to assist them in the implementation and oversight of those processes.",False,
M15C0094,8,True,Inadequate emergency response,False,1,Implement regular man overboard drills to ensure crew members are familiar with their roles and responsibilities.,False,
M23C0143,14,True,navigational oversight,False,0,"Enhance training and certification for pleasure craft operators, including refresher training and a graduated licensing program.",,
A98H0003,33,True,electrical arcing,False,224,Require an inspection of all MD-11 aircraft for wiring discrepancies,True,
A25P0149,3,True,fuel system failure,False,1,Owners of amateur-built aircraft should be reminded of the risks associated with performing a turnback to an aerodrome following an engine failure at takeoff.,False,
A25Q0051,3,True,maintenance error,False,1,"Pilots must conduct a thorough pre-flight check, especially after maintenance work, and be prepared to abort takeoff if something seems wrong.",,
A25W0045,3,True,Pilot error in handling,False,1,Conduct emergency training at airports with suitable facilities to report or indicate wind direction and speed.,,
A24P0107,4,True,underwater egress failure,False,1,Enhanced safety briefings outlining underwater egress procedures should be mandatory on all commercial seaplane flights.,,
A24C0095,3,True,pilot error during maneuver,False,2,"Pilots need to be cautious when conducting steep turns at low height, given the risk of inadvertent stalls.",False,
A24W0116,3,True,fuel management error,False,0,Pilots must maintain a clear understanding of their actual versus required fuel amounts.,False,
A24P0092,3,True,inadvertent flight into IMC,False,1,Ensure pilots possess the skills necessary to recover from inadvertent flight into instrument meteorological conditions,True,
A19P0187,3,True,weather-related factors,False,1,Transport Canada require all Canadian-registered aircraft and foreign aircraft operating in Canada that require installation of an emergency locator transmitter (ELT) to be equipped with a 406 MHz ELT in accordance with International Civil Aviation Organization standards.,True,
A19C0145,17,True,Pilot decision making,False,0,Transport Canada should conduct regular safety management system assessments to ensure operators can effectively manage safety.,True,
A19P0142,11,True,Pilot medical incapacitation,False,1,Transport Canada should implement a global cardiovascular assessment for pilots with high cardiovascular risk factors.,False,
A19W0105,10,True,Pilot decision making,False,2,null,False,
A19Q0128,7,True,Pilot decision making,False,1,Enhance training on recognizing and mitigating plan continuation bias and spatial disorientation.,False,
A19O0178,12,True,Pilot decision making,False,7,Transport Canada should clearly define the visual references required to reduce the risks associated with night visual flight rules flight.,True,
A19Q0146,3,True,fuel management error,False,0,Operators and pilots who use a home-made dipstick as a tool for measuring fuel should ensure that the markings are calibrated and documented based on parameters specific to their aircraft.,,
